Player,Position,Draft_Year,Draft_Round,Draft_Pick,Age_when_Drafted,Team,From,To,NFL_Years_Played,Hall_of_Fame_Inductee,All_Pro_First_Team_Selections,Pro_Bowl_Selections,Years_as_NFL_Starter,CarAV,College_Games,College_Games_Started,Rushing_Attempts,Rushing_Yards,Rushing_Touchdowns,Receptions,Receiving _Yards,Receiving_Touchdowns,College_University
Kenyan_Drake,RB,2016,3,73,22,MIA,2016,2019,4,0,0,0,1,22,62,24,456,2175,17,144,1107,6,Alabama
CJ_Prosise,RB,2016,3,90,22,SEA,2016,2019,4,0,0,0,0,5,25,2,65,264,2,36,393,0,Notre_Dame
Tyler_Ervin,RB,2016,4,119,22,HOU,2016,2019,4,0,0,0,0,0,35,0,6,25,0,16,102,0,San_Jose_St
Kenneth_Dixon,RB,2016,4,134,22,BAL,2016,2018,3,0,0,0,0,5,18,0,148,715,4,36,213,1,Louisiana_Tech
Devontae_Booker,RB,2016,4,136,24,DEN,2016,2019,4,0,0,0,0,11,61,6,289,1103,6,105,872,1,Utah
DeAndre_Washington,RB,2016,5,143,23,OAK,2016,2019,4,0,0,0,0,11,55,5,282,1122,7,88,613,1,Texas_Tech
Paul_Perkins,RB,2016,5,149,21,NYG,2016,2019,4,0,0,0,0,5,29,5,165,575,0,24,217,0,UCLA
Jordan_Howard,RB,2016,5,150,21,CHI,2016,2019,4,0,0,1,3,24,57,48,897,3895,30,82,637,2,Indiana
Wendell_Smallwood,RB,2016,5,153,22,PHI,2016,2019,4,0,0,0,0,10,52,12,233,931,5,56,452,2,West_Virginia
Jonathan_Williams,RB,2016,5,156,22,BUF,2016,2019,4,0,0,0,0,3,23,1,79,329,2,7,60,0,Arkansas
Alex_Collins,RB,2016,5,171,22,SEA,2016,2018,3,0,0,0,2,14,36,22,357,1509,14,49,376,1,Arkansas
Andy_Janovich,FB,2016,6,176,23,DEN,2016,2019,4,0,0,0,0,2,50,19,13,51,3,22,233,1,Nebraska
Keenan_Reynolds,RB,2016,6,182,22,BAL,2018,2018,1,0,0,0,0,0,2,0,0,0,0,0,0,0,Navy
Danny_Vitale,FB,2016,6,197,22,TAM,2016,2019,4,0,0,0,0,1,44,13,1,3,0,15,145,0,Northwestern
Derek_Watt,FB,2016,6,198,23,SDG,2016,2019,4,0,0,0,0,1,64,13,19,49,1,10,152,0,Wisconsin
Kelvin_Taylor,RB,2016,6,211,22,SFO,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida
Darius_Jackson,RB,2016,6,216,22,DAL,2018,2018,1,0,0,0,0,0,4,0,6,16,0,0,0,0,East_Michigan
Dwayne_Washington,RB,2016,7,236,22,DET,2016,2019,4,0,0,0,0,4,46,2,145,523,1,13,82,0,Washington
Daniel_Lasco,RB,2016,7,237,23,NOR,2016,2017,2,0,0,0,0,0,10,0,11,32,0,2,11,0,California
Keith_Marshall,RB,2016,7,242,22,WAS,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia
Zac_Brooks,RB,2016,7,247,23,SEA,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clemson
Todd_Gurley,RB,2015,1,10,21,STL,2015,2019,5,0,2,3,5,50,73,72,1265,5404,58,218,2090,12,Georgia
Melvin_Gordon,RB,2015,1,15,22,SDG,2015,2019,5,0,0,2,5,39,67,63,1059,4240,36,224,1873,11,Wisconsin
TJ_Yeldon,RB,2015,2,36,21,JAX,2015,2019,5,0,0,0,2,20,57,30,482,1935,6,184,1426,6,Alabama
Ameer_Abdullah,RB,2015,2,54,22,DET,2015,2019,5,0,0,0,2,12,58,22,350,1366,6,73,518,4,Nebraska
Tevin_Coleman,RB,2015,3,73,22,ATL,2015,2019,5,0,0,0,2,30,70,31,665,2884,24,113,1190,12,Indiana
Duke_Johnson,RB,2015,3,77,21,CLE,2015,2019,5,0,0,0,0,25,80,12,382,1696,7,279,2580,11,Miami_FL
David_Johnson,RB,2015,3,86,23,ARI,2015,2019,5,0,1,1,3,34,62,47,781,3128,33,208,2219,15,Northern_Iowa
Matt_Jones,RB,2015,3,95,22,WAS,2015,2017,3,0,0,0,0,10,25,7,248,964,6,27,377,1,Florida
Jeremy_Langford,RB,2015,4,106,23,CHI,2015,2018,4,0,0,0,0,8,29,5,219,762,10,41,421,1,Michigan_St
Jalston_Fowler,FB,2015,4,108,25,TEN,2015,2017,3,0,0,0,0,0,42,8,10,20,2,6,58,1,Alabama
Javorius_Allen,RB,2015,4,125,24,BAL,2015,2019,5,0,0,0,0,14,64,6,350,1285,9,130,823,6,USC
Mike_Davis,RB,2015,4,126,22,SFO,2015,2019,5,0,0,0,0,10,47,10,247,889,5,66,430,1,South_Carolina
David_Cobb,RB,2015,5,138,22,TEN,2015,2015,1,0,0,0,0,1,7,1,52,146,1,1,-2,0,Minnesota
Jay_Ajayi,RB,2015,5,149,22,MIA,2015,2019,5,0,0,1,1,19,45,23,572,2546,13,63,419,1,Boise_St
Karlos_Williams,RB,2015,5,155,22,BUF,2015,2015,1,0,0,0,0,4,11,3,93,517,7,11,96,2,Florida_St
Michael_Burton,FB,2015,5,168,23,DET,2015,2019,5,0,0,0,0,0,65,13,8,11,0,9,53,1,Rutgers
Cameron_Artis-Payne,RB,2015,5,174,25,CAR,2015,2018,4,0,0,0,0,5,32,3,118,491,5,10,86,0,Auburn
